2016/01/13 13:58:45 Process Name : explorer, MAC ID : 64:27:37:EE:A0:93, CPU usage : 0.0, RAM usage : 112060.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 6788, Type : Windows
2016/01/13 13:58:45 Process Name : iPodService, MAC ID : 64:27:37:EE:A0:93, CPU usage : 0.0, RAM usage : 5824.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 88, Type : Windows
2016/01/13 13:58:45 Process Name : iTunesHelper, MAC ID : 64:27:37:EE:A0:93, CPU usage : 0.0, RAM usage : 7888.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 5524, Type : Windows
2016/01/13 13:58:45 Process Name : igfxpers, MAC ID : 64:27:37:EE:A0:93, CPU usage : 0.0, RAM usage : 4040.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 7208, Type : Windows
2016/01/13 13:58:45 Process Name : jusched, MAC ID : 64:27:37:EE:A0:93, CPU usage : 0.0, RAM usage : 2552.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 3008, Type : Windows
2016/01/13 13:58:45 Process Name : lsass, MAC ID : 64:27:37:EE:A0:93, CPU usage : 0.0, RAM usage : 18052.0, Sent Data : 2.283375926244937, Received Data : 0.0, Process ID : 576, Type : Windows
2016/01/13 13:58:45 Process Name : mDNSResponder, MAC ID : 64:27:37:EE:A0:93, CPU usage : 0.0, RAM usage : 5200.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 1532, Type : Windows
2016/01/13 13:58:45 Process Name : notepad++, MAC ID : 64:27:37:EE:A0:93, CPU usage : 0.0, RAM usage : 127432.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 2228, Type : Windows
2016/01/13 13:58:45 Process Name : ouc, MAC ID : 64:27:37:EE:A0:93, CPU usage : 0.01239062201217497, RAM usage : 33032.0, Sent Data : 3887.0302704977703, Received Data : 0.0, Process ID : 1736, Type : Windows
2016/01/13 13:58:45 Process Name : rundll32, MAC ID : 64:27:37:EE:A0:93, CPU usage : 0.0, RAM usage : 10448.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 3680, Type : Windows
2016/01/13 13:58:45 Process Name : services, MAC ID : 64:27:37:EE:A0:93, CPU usage : 0.0, RAM usage : 21568.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 568, Type : Windows
2016/01/13 13:58:45 Process Name : smss, MAC ID : 64:27:37:EE:A0:93, CPU usage : 0.0, RAM usage : 568.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 292, Type : Windows
2016/01/13 13:58:45 Process Name : spoolsv, MAC ID : 64:27:37:EE:A0:93, CPU usage : 0.0, RAM usage : 8064.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 1196, Type : Windows
2016/01/13 13:58:45 Process Name : svchost, MAC ID : 64:27:37:EE:A0:93, CPU usage : 0.0, RAM usage : 12416.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 680, Type : Windows
2016/01/13 13:58:45 Process Name : svchost#1, MAC ID : 64:27:37:EE:A0:93, CPU usage : 0.0, RAM usage : 21128.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 732, Type : Windows
2016/01/13 13:58:45 Process Name : svchost#10, MAC ID : 64:27:37:EE:A0:93, CPU usage : 0.0, RAM usage : 20296.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 2264, Type : Windows
2016/01/13 13:58:45 Process Name : svchost#11, MAC ID : 64:27:37:EE:A0:93, CPU usage : 0.0, RAM usage : 3952.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 860, Type : Windows
2016/01/13 13:58:45 Process Name : svchost#2, MAC ID : 64:27:37:EE:A0:93, CPU usage : 1.9072104442310789, RAM usage : 178944.0, Sent Data : 5939084.3079076735, Received Data : 4154.4270616774975, Process ID : 936, Type : Windows
2016/01/13 13:58:45 Process Name : svchost#3, MAC ID : 64:27:37:EE:A0:93, CPU usage : 0.0, RAM usage : 116504.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 972, Type : Windows
2016/01/13 13:58:45 Process Name : svchost#4, MAC ID : 64:27:37:EE:A0:93, CPU usage : 0.0, RAM usage : 47536.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 1004, Type : Windows
2016/01/13 13:58:45 Process Name : svchost#5, MAC ID : 64:27:37:EE:A0:93, CPU usage : 7.086514565585422, RAM usage : 230616.0, Sent Data : 10.73791018845072, Received Data : 0.0, Process ID : 432, Type : Windows
2016/01/13 13:58:45 Process Name : svchost#6, MAC ID : 64:27:37:EE:A0:93, CPU usage : 0.0, RAM usage : 47560.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 488, Type : Windows
2016/01/13 13:58:45 Process Name : svchost#7, MAC ID : 64:27:37:EE:A0:93, CPU usage : 0.0, RAM usage : 97096.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 1036, Type : Windows
2016/01/13 13:58:45 Process Name : svchost#8, MAC ID : 64:27:37:EE:A0:93, CPU usage : 0.0, RAM usage : 6672.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 1440, Type : Windows
2016/01/13 13:58:45 Process Name : svchost#9, MAC ID : 64:27:37:EE:A0:93, CPU usage : 0.0, RAM usage : 7960.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 1932, Type : Windows
2016/01/13 13:58:45 Process Name : taskhostex, MAC ID : 64:27:37:EE:A0:93, CPU usage : 0.024756700966361542, RAM usage : 10912.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 5688, Type : Windows
2016/01/13 13:58:45 Process Name : vcpkgsrv, MAC ID : 64:27:37:EE:A0:93, CPU usage : 0.0, RAM usage : 180224.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 4236, Type : Windows
2016/01/13 13:58:45 Process Name : wininit, MAC ID : 64:27:37:EE:A0:93, CPU usage : 0.0, RAM usage : 3416.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 468, Type : Windows
2016/01/13 13:58:45 Process Name : winlogon, MAC ID : 64:27:37:EE:A0:93, CPU usage : 0.0, RAM usage : 2424.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 5908, Type : Windows
2016/01/13 13:58:45 Process Name : xdm, MAC ID : 64:27:37:EE:A0:93, CPU usage : 0.0, RAM usage : 47984.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 7840, Type : Windows
2016/01/13 14:05:25 Process Name : AppleMobileDeviceSer, MAC ID : 64:27:37:EE:A0:93, CPU usage : 0.0, RAM usage : 8564.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 1464, Type : Windows
2016/01/13 14:05:25 Process Name : Babylon, MAC ID : 64:27:37:EE:A0:93, CPU usage : 0.0, RAM usage : 41116.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 7916, Type : Windows
2016/01/13 14:05:25 Process Name : BabylonHelper64, MAC ID : 64:27:37:EE:A0:93, CPU usage : 0.0, RAM usage : 1436.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 6228, Type : Windows
2016/01/13 14:05:25 Process Name : FAHWindow64, MAC ID : 64:27:37:EE:A0:93, CPU usage : 0.0, RAM usage : 1164.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 2316, Type : Windows
2016/01/13 14:05:25 Process Name : HWDeviceService64, MAC ID : 64:27:37:EE:A0:93, CPU usage : 0.0, RAM usage : 1880.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 1752, Type : Windows
