2016/01/20 14:35:33 Process Name : Jhi_service, MAC ID : 00:E0:4C:68:14:38, CPU usage : 0.0, RAM usage : 2824.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 4716, Type : Windows
2016/01/20 14:35:33 Process Name : MsMpEng, MAC ID : 00:E0:4C:68:14:38, CPU usage : 1.8434465162671803, RAM usage : 130856.0, Sent Data : 282655.7439551404, Received Data : 11202.840084364914, Process ID : 1000, Type : Windows
2016/01/20 14:35:33 Process Name : NisSrv, MAC ID : 00:E0:4C:68:14:38, CPU usage : 0.0, RAM usage : 26624.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 3736, Type : Windows
2016/01/20 14:35:33 Process Name : PresentationFontCach, MAC ID : 00:E0:4C:68:14:38, CPU usage : 0.0, RAM usage : 54824.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 3032, Type : Windows
2016/01/20 14:35:33 Process Name : Project, MAC ID : 00:E0:4C:68:14:38, CPU usage : 0.0982112632553421, RAM usage : 72580.0, Sent Data : 0.12375323146070381, Received Data : 1132.0123026139918, Process ID : 2072, Type : Windows
2016/01/20 14:35:33 Process Name : RAVCpl64, MAC ID : 00:E0:4C:68:14:38, CPU usage : 0.0, RAM usage : 27888.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 3584, Type : Windows
2016/01/20 14:35:33 Process Name : SearchFilterHost, MAC ID : 00:E0:4C:68:14:38, CPU usage : 0.0, RAM usage : 3208.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 1080, Type : Windows
2016/01/20 14:35:33 Process Name : SearchIndexer, MAC ID : 00:E0:4C:68:14:38, CPU usage : 3.150629897306875, RAM usage : 79972.0, Sent Data : 0.0, Received Data : 131.82706119255752, Process ID : 3936, Type : Windows
2016/01/20 14:35:33 Process Name : SearchProtocolHost, MAC ID : 00:E0:4C:68:14:38, CPU usage : 3.1250150240143846, RAM usage : 3172.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 3156, Type : Windows
2016/01/20 14:35:33 Process Name : SinhalaTamil IME, MAC ID : 00:E0:4C:68:14:38, CPU usage : 0.0, RAM usage : 4680.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 3764, Type : Windows
2016/01/20 14:35:33 Process Name : SkypeC2CAutoUpdateSv, MAC ID : 00:E0:4C:68:14:38, CPU usage : 0.0, RAM usage : 3264.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 1848, Type : Windows
2016/01/20 14:35:33 Process Name : SkypeC2CPNRSvc, MAC ID : 00:E0:4C:68:14:38, CPU usage : 0.0, RAM usage : 3888.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 1884, Type : Windows
2016/01/20 14:35:33 Process Name : TSVNCache, MAC ID : 00:E0:4C:68:14:38, CPU usage : 0.0, RAM usage : 6832.0, Sent Data : 34.656966639505534, Received Data : 1.0502471538566214, Process ID : 3368, Type : Windows
2016/01/20 14:35:33 Process Name : beasvc, MAC ID : 00:E0:4C:68:14:38, CPU usage : 0.0, RAM usage : 78272.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 2132, Type : Windows
