2016/01/01 17:46:24 Process Name : svchost#4, MAC ID : FC:F8:AE:A8:C5:AA, CPU usage : 0.0, RAM usage : 14112.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 984, Type : Windows
2016/01/01 17:46:24 Process Name : svchost#5, MAC ID : FC:F8:AE:A8:C5:AA, CPU usage : 0.0, RAM usage : 10348.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 260, Type : Windows
2016/01/01 17:46:24 Process Name : svchost#6, MAC ID : FC:F8:AE:A8:C5:AA, CPU usage : 0.0, RAM usage : 16824.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 324, Type : Windows
2016/01/01 17:46:24 Process Name : svchost#7, MAC ID : FC:F8:AE:A8:C5:AA, CPU usage : 0.0, RAM usage : 23964.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 1324, Type : Windows
2016/01/01 17:46:24 Process Name : svchost#8, MAC ID : FC:F8:AE:A8:C5:AA, CPU usage : 0.0, RAM usage : 3048.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 2704, Type : Windows
2016/01/01 17:46:24 Process Name : svchost#9, MAC ID : FC:F8:AE:A8:C5:AA, CPU usage : 0.0, RAM usage : 2632.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 4252, Type : Windows
2016/01/01 17:46:24 Process Name : taskhost, MAC ID : FC:F8:AE:A8:C5:AA, CPU usage : 0.0, RAM usage : 27548.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 3168, Type : Windows
2016/01/01 17:46:24 Process Name : taskhostex, MAC ID : FC:F8:AE:A8:C5:AA, CPU usage : 0.0, RAM usage : 16596.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 5480, Type : Windows
2016/01/01 17:46:24 Process Name : vcpkgsrv, MAC ID : FC:F8:AE:A8:C5:AA, CPU usage : 0.0, RAM usage : 137608.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 1932, Type : Windows
2016/01/01 17:46:24 Process Name : vcpkgsrv#1, MAC ID : FC:F8:AE:A8:C5:AA, CPU usage : 0.0, RAM usage : 135188.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 6568, Type : Windows
2016/01/01 17:46:24 Process Name : wininit, MAC ID : FC:F8:AE:A8:C5:AA, CPU usage : 0.0, RAM usage : 1104.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 544, Type : Windows
2016/01/01 17:46:24 Process Name : winlogon, MAC ID : FC:F8:AE:A8:C5:AA, CPU usage : 0.0, RAM usage : 1216.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 5444, Type : Windows
2016/01/01 18:23:32 Process Name : AppleMobileDeviceSer, MAC ID : FC:F8:AE:A8:C5:AA, CPU usage : 0.0, RAM usage : 2888.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 1444, Type : Windows
