20/01/2016 14:13:40 , Message : A new process has been created., Level : Information, MAC : 00:E0:4C:68:14:3E, Device : DREAM-75, Process Id : , Thread Id : , Computer : Dream-75, Event Id : 4688, S_Account Name : DREAM-75$, Object Name : , Object Type : , Source Address : , Source Port : , Destination Address : , Destination Port : , Protocol : , Change Type : , Accesses : , Access Reason : , Privilege for Access Check : , Error Information Reason : , Process Name : C:\Program Files (x86)\Kingsoft\Kingsoft Office\WPS Office\9.1.0.5217\wtoolex\wpsupdatesvr.exe, Logon Type : , Impersonation Level : , Account Name : , Failure Reason : , Failure Status : , Logon Account Name : , Event : USER_DEFINED
20/01/2016 14:13:40 , Message : A handle to an object was requested., Level : Information, MAC : 00:E0:4C:68:14:3E, Device : DREAM-75, Process Id : , Thread Id : , Computer : Dream-75, Event Id : 4656, S_Account Name : DREAM-75$, Object Name : PlugPlaySecurityObject, Object Type : Security, Source Address : , Source Port : , Destination Address : , Destination Port : , Protocol : , Change Type : , Accesses : Unknown specific access (bit 1), Access Reason : -, Privilege for Access Check : -, Error Information Reason : , Process Name : C:\Windows\System32\svchost.exe, Logon Type : , Impersonation Level : , Account Name : , Failure Reason : , Failure Status : , Logon Account Name : , Event : USER_DEFINED
20/01/2016 14:13:40 , Message : A new process has been created., Level : Information, MAC : 00:E0:4C:68:14:3E, Device : DREAM-75, Process Id : , Thread Id : , Computer : Dream-75, Event Id : 4688, S_Account Name : DREAM-75$, Object Name : , Object Type : , Source Address : , Source Port : , Destination Address : , Destination Port : , Protocol : , Change Type : , Accesses : , Access Reason : , Privilege for Access Check : , Error Information Reason : , Process Name : C:\Program Files (x86)\Malwarebytes Anti-Malware\mbamservice.exe, Logon Type : , Impersonation Level : , Account Name : , Failure Reason : , Failure Status : , Logon Account Name : , Event : USER_DEFINED
20/01/2016 14:13:40 , Message : A handle to an object was requested., Level : Information, MAC : 00:E0:4C:68:14:3E, Device : DREAM-75, Process Id : , Thread Id : , Computer : Dream-75, Event Id : 4656, S_Account Name : DREAM-75$, Object Name : PlugPlaySecurityObject, Object Type : Security, Source Address : , Source Port : , Destination Address : , Destination Port : , Protocol : , Change Type : , Accesses : Unknown specific access (bit 1), Access Reason : -, Privilege for Access Check : -, Error Information Reason : , Process Name : C:\Windows\System32\svchost.exe, Logon Type : , Impersonation Level : , Account Name : , Failure Reason : , Failure Status : , Logon Account Name : , Event : USER_DEFINED
20/01/2016 14:13:40 , Message : A handle to an object was requested., Level : Information, MAC : 00:E0:4C:68:14:3E, Device : DREAM-75, Process Id : , Thread Id : , Computer : Dream-75, Event Id : 4656, S_Account Name : DREAM-75$, Object Name : PlugPlaySecurityObject, Object Type : Security, Source Address : , Source Port : , Destination Address : , Destination Port : , Protocol : , Change Type : , Accesses : Unknown specific access (bit 1), Access Reason : -, Privilege for Access Check : -, Error Information Reason : , Process Name : C:\Windows\System32\svchost.exe, Logon Type : , Impersonation Level : , Account Name : , Failure Reason : , Failure Status : , Logon Account Name : , Event : USER_DEFINED
20/01/2016 14:13:41 , Message : A logon was attempted using explicit credentials., Level : Information, MAC : 00:E0:4C:68:14:3E, Device : DREAM-75, Process Id : , Thread Id : , Computer : Dream-75, Event Id : 4648, S_Account Name : DREAM-75$, Object Name : , Object Type : , Source Address : , Source Port : , Destination Address : , Destination Port : , Protocol : , Change Type : , Accesses : , Access Reason : , Privilege for Access Check : , Error Information Reason : , Process Name : C:\Windows\System32\services.exe, Logon Type : , Impersonation Level : , Account Name : , Failure Reason : , Failure Status : , Logon Account Name : , Event : USER_DEFINED
20/01/2016 14:13:41 , Message : An account was successfully logged on., Level : Information, MAC : 00:E0:4C:68:14:3E, Device : DREAM-75, Process Id : , Thread Id : , Computer : Dream-75, Event Id : 4624, S_Account Name : DREAM-75$, Object Name : , Object Type : , Source Address : , Source Port : , Destination Address : , Destination Port : , Protocol : , Change Type : , Accesses : , Access Reason : , Privilege for Access Check : , Error Information Reason : , Process Name : C:\Windows\System32\services.exe, Logon Type : , Impersonation Level : , Account Name : , Failure Reason : , Failure Status : , Logon Account Name : , Event : USER_DEFINED
20/01/2016 14:13:41 , Message : Special privileges assigned to new logon., Level : Information, MAC : 00:E0:4C:68:14:3E, Device : DREAM-75, Process Id : , Thread Id : , Computer : Dream-75, Event Id : 4672, S_Account Name : MSSQL$SQLEXPRESS, Object Name : , Object Type : , Source Address : , Source Port : , Destination Address : , Destination Port : , Protocol : , Change Type : , Accesses : , Access Reason : , Privilege for Access Check : , Error Information Reason : , Process Name : , Logon Type : , Impersonation Level : , Account Name : , Failure Reason : , Failure Status : , Logon Account Name : , Event : USER_DEFINED
20/01/2016 14:13:41 , Message : A new process has been created., Level : Information, MAC : 00:E0:4C:68:14:3E, Device : DREAM-75, Process Id : , Thread Id : , Computer : Dream-75, Event Id : 4688, S_Account Name : DREAM-75$, Object Name : , Object Type : , Source Address : , Source Port : , Destination Address : , Destination Port : , Protocol : , Change Type : , Accesses : , Access Reason : , Privilege for Access Check : , Error Information Reason : , Process Name : C:\Windows\System32\dllhost.exe, Logon Type : , Impersonation Level : , Account Name : , Failure Reason : , Failure Status : , Logon Account Name : , Event : USER_DEFINED
20/01/2016 14:13:41 , Message : A new process has been created., Level : Information, MAC : 00:E0:4C:68:14:3E, Device : DREAM-75, Process Id : , Thread Id : , Computer : Dream-75, Event Id : 4688, S_Account Name : DREAM-75$, Object Name : , Object Type : , Source Address : , Source Port : , Destination Address : , Destination Port : , Protocol : , Change Type : , Accesses : , Access Reason : , Privilege for Access Check : , Error Information Reason : , Process Name : C:\Program Files (x86)\Microsoft SQL Server\MSSQL11.SQLEXPRESS\MSSQL\Binn\sqlservr.exe, Logon Type : , Impersonation Level : , Account Name : , Failure Reason : , Failure Status : , Logon Account Name : , Event : USER_DEFINED
20/01/2016 14:13:41 , Message : A handle to an object was requested., Level : Information, MAC : 00:E0:4C:68:14:3E, Device : DREAM-75, Process Id : , Thread Id : , Computer : Dream-75, Event Id : 4656, S_Account Name : DREAM-75$, Object Name : PlugPlaySecurityObject, Object Type : Security, Source Address : , Source Port : , Destination Address : , Destination Port : , Protocol : , Change Type : , Accesses : Unknown specific access (bit 1), Access Reason : -, Privilege for Access Check : -, Error Information Reason : , Process Name : C:\Windows\System32\svchost.exe, Logon Type : , Impersonation Level : , Account Name : , Failure Reason : , Failure Status : , Logon Account Name : , Event : USER_DEFINED
20/01/2016 14:13:42 , Message : The Windows Filtering Platform has permitted a connection., Level : Information, MAC : 00:E0:4C:68:14:3E, Device : DREAM-75, Process Id : , Thread Id : , Computer : Dream-75, Event Id : 5156, S_Account Name : , Object Name : , Object Type : , Source Address : , Source Port : 546, Destination Address : ff02::1, Destination Port : 547, Protocol : 17, Change Type : , Accesses : , Access Reason : , Privilege for Access Check : , Error Information Reason : , Process Name : , Logon Type : , Impersonation Level : , Account Name : , Failure Reason : , Failure Status : , Logon Account Name : , Event : USER_DEFINED
20/01/2016 14:13:42 , Message : The Windows Filtering Platform has permitted a connection., Level : Information, MAC : 00:E0:4C:68:14:3E, Device : DREAM-75, Process Id : , Thread Id : , Computer : Dream-75, Event Id : 5156, S_Account Name : , Object Name : , Object Type : , Source Address : , Source Port : 5355, Destination Address : fe80::b422:5e3a:b9ba, Destination Port : 53507, Protocol : 17, Change Type : , Accesses : , Access Reason : , Privilege for Access Check : , Error Information Reason : , Process Name : , Logon Type : , Impersonation Level : , Account Name : , Failure Reason : , Failure Status : , Logon Account Name : , Event : USER_DEFINED
20/01/2016 14:13:42 , Message : The Windows Filtering Platform has blocked a connection., Level : Information, MAC : 00:E0:4C:68:14:3E, Device : DREAM-75, Process Id : , Thread Id : , Computer : Dream-75, Event Id : 5157, S_Account Name : , Object Name : , Object Type : , Source Address : , Source Port : 5355, Destination Address : 10.8.97.222, Destination Port : 55945, Protocol : 17, Change Type : , Accesses : , Access Reason : , Privilege for Access Check : , Error Information Reason : , Process Name : , Logon Type : , Impersonation Level : , Account Name : , Failure Reason : , Failure Status : , Logon Account Name : , Event : USER_DEFINED
20/01/2016 14:13:42 , Message : The Windows Filtering Platform has blocked a connection., Level : Information, MAC : 00:E0:4C:68:14:3E, Device : DREAM-75, Process Id : , Thread Id : , Computer : Dream-75, Event Id : 5157, S_Account Name : , Object Name : , Object Type : , Source Address : , Source Port : 5355, Destination Address : fe80::b422:5e3a:b9ba, Destination Port : 53507, Protocol : 17, Change Type : , Accesses : , Access Reason : , Privilege for Access Check : , Error Information Reason : , Process Name : , Logon Type : , Impersonation Level : , Account Name : , Failure Reason : , Failure Status : , Logon Account Name : , Event : USER_DEFINED
20/01/2016 14:13:42 , Message : The Windows Filtering Platform has blocked a connection., Level : Information, MAC : 00:E0:4C:68:14:3E, Device : DREAM-75, Process Id : , Thread Id : , Computer : Dream-75, Event Id : 5157, S_Account Name : , Object Name : , Object Type : , Source Address : , Source Port : 5355, Destination Address : 10.8.97.222, Destination Port : 55945, Protocol : 17, Change Type : , Accesses : , Access Reason : , Privilege for Access Check : , Error Information Reason : , Process Name : , Logon Type : , Impersonation Level : , Account Name : , Failure Reason : , Failure Status : , Logon Account Name : , Event : USER_DEFINED
20/01/2016 14:13:42 , Message : The Windows Filtering Platform has blocked a connection., Level : Information, MAC : 00:E0:4C:68:14:3E, Device : DREAM-75, Process Id : , Thread Id : , Computer : Dream-75, Event Id : 5157, S_Account Name : , Object Name : , Object Type : , Source Address : , Source Port : 137, Destination Address : 10.8.97.222, Destination Port : 137, Protocol : 17, Change Type : , Accesses : , Access Reason : , Privilege for Access Check : , Error Information Reason : , Process Name : , Logon Type : , Impersonation Level : , Account Name : , Failure Reason : , Failure Status : , Logon Account Name : , Event : USER_DEFINED
20/01/2016 14:13:43 , Message : The Windows Filtering Platform has blocked a connection., Level : Information, MAC : 00:E0:4C:68:14:3E, Device : DREAM-75, Process Id : , Thread Id : , Computer : Dream-75, Event Id : 5157, S_Account Name : , Object Name : , Object Type : , Source Address : , Source Port : 137, Destination Address : 10.8.97.222, Destination Port : 137, Protocol : 17, Change Type : , Accesses : , Access Reason : , Privilege for Access Check : , Error Information Reason : , Process Name : , Logon Type : , Impersonation Level : , Account Name : , Failure Reason : , Failure Status : , Logon Account Name : , Event : USER_DEFINED
20/01/2016 14:13:44 , Message : The Windows Filtering Platform has blocked a connection., Level : Information, MAC : 00:E0:4C:68:14:3E, Device : DREAM-75, Process Id : , Thread Id : , Computer : Dream-75, Event Id : 5157, S_Account Name : , Object Name : , Object Type : , Source Address : , Source Port : 137, Destination Address : 10.8.97.222, Destination Port : 137, Protocol : 17, Change Type : , Accesses : , Access Reason : , Privilege for Access Check : , Error Information Reason : , Process Name : , Logon Type : , Impersonation Level : , Account Name : , Failure Reason : , Failure Status : , Logon Account Name : , Event : USER_DEFINED
