2016/01/20 14:24:59 Process Name : PresentationFontCach, MAC ID : 00:E0:4C:68:14:3E, CPU usage : 0.0, RAM usage : 0.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 4060, Type : Windows
2016/01/20 14:24:59 Process Name : Project, MAC ID : 00:E0:4C:68:14:3E, CPU usage : 0.7738655345204433, RAM usage : 86488.0, Sent Data : 2.985777686837228, Received Data : 1641.260537322783, Process ID : 3188, Type : Windows
2016/01/20 14:24:59 Process Name : RAVCpl64, MAC ID : 00:E0:4C:68:14:3E, CPU usage : 0.0, RAM usage : 27976.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 2724, Type : Windows
2016/01/20 14:24:59 Process Name : SearchFilterHost, MAC ID : 00:E0:4C:68:14:3E, CPU usage : 0.0, RAM usage : 0.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 3672, Type : Windows
2016/01/20 14:24:59 Process Name : SearchIndexer, MAC ID : 00:E0:4C:68:14:3E, CPU usage : 0.0, RAM usage : 0.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 2512, Type : Windows
2016/01/20 14:24:59 Process Name : SearchProtocolHost, MAC ID : 00:E0:4C:68:14:3E, CPU usage : 0.0, RAM usage : 0.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 896, Type : Windows
2016/01/20 14:24:59 Process Name : SinhalaTamil IME, MAC ID : 00:E0:4C:68:14:3E, CPU usage : 0.0, RAM usage : 4648.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 2968, Type : Windows
2016/01/20 14:24:59 Process Name : SkypeC2CPNRSvc, MAC ID : 00:E0:4C:68:14:3E, CPU usage : 0.0, RAM usage : 3904.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 1924, Type : Windows
2016/01/20 14:24:59 Process Name : TSVNCache, MAC ID : 00:E0:4C:68:14:3E, CPU usage : 0.03798324284863067, RAM usage : 6728.0, Sent Data : 1629.0085053010137, Received Data : 49.365071255127496, Process ID : 2484, Type : Windows
2016/01/20 14:24:59 Process Name : csrss, MAC ID : 00:E0:4C:68:14:3E, CPU usage : 0.0, RAM usage : 0.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 528, Type : Windows
2016/01/20 14:24:59 Process Name : csrss#1, MAC ID : 00:E0:4C:68:14:3E, CPU usage : 0.07640089377514, RAM usage : 5120.0, Sent Data : 9656.061409117056, Received Data : 0.0, Process ID : 620, Type : Windows
2016/01/20 14:24:59 Process Name : cygrunsrv, MAC ID : 00:E0:4C:68:14:3E, CPU usage : 0.0, RAM usage : 12692.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 2984, Type : Windows
2016/01/20 14:24:59 Process Name : dwm, MAC ID : 00:E0:4C:68:14:3E, CPU usage : 0.0, RAM usage : 30000.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 2348, Type : Windows
