2016/01/20 14:34:10 Process Name : lsm, MAC ID : 00:E0:4C:68:04:31, CPU usage : 0.0, RAM usage : 6328.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 728, Type : Windows
2016/01/20 14:34:10 Process Name : msseces, MAC ID : 00:E0:4C:68:04:31, CPU usage : 0.0, RAM usage : 6120.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 4744, Type : Windows
2016/01/20 14:34:10 Process Name : mysqld, MAC ID : 00:E0:4C:68:04:31, CPU usage : 0.0, RAM usage : 1173336.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 3912, Type : Windows
2016/01/20 14:34:10 Process Name : notepad, MAC ID : 00:E0:4C:68:04:31, CPU usage : 0.0, RAM usage : 90256.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 4484, Type : Windows
2016/01/20 14:34:10 Process Name : nssm, MAC ID : 00:E0:4C:68:04:31, CPU usage : 0.0, RAM usage : 4680.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 2840, Type : Windows
2016/01/20 14:34:10 Process Name : oracle, MAC ID : 00:E0:4C:68:04:31, CPU usage : 0.01280743664624512, RAM usage : 1543848.0, Sent Data : 58554.9755520457, Received Data : 11091.525963650793, Process ID : 2264, Type : Windows
2016/01/20 14:34:10 Process Name : services, MAC ID : 00:E0:4C:68:04:31, CPU usage : 0.0, RAM usage : 13128.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 712, Type : Windows
2016/01/20 14:34:10 Process Name : smss, MAC ID : 00:E0:4C:68:04:31, CPU usage : 0.0, RAM usage : 1144.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 356, Type : Windows
2016/01/20 14:34:10 Process Name : spoolsv, MAC ID : 00:E0:4C:68:04:31, CPU usage : 0.0, RAM usage : 13324.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 1564, Type : Windows
2016/01/20 14:34:10 Process Name : sqlservr, MAC ID : 00:E0:4C:68:04:31, CPU usage : 0.0, RAM usage : 197000.0, Sent Data : 0.0, Received Data : 16.826418814712408, Process ID : 2136, Type : Windows
2016/01/20 14:34:10 Process Name : sshd, MAC ID : 00:E0:4C:68:04:31, CPU usage : 0.0, RAM usage : 15256.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 2832, Type : Windows
2016/01/20 14:34:10 Process Name : svchost, MAC ID : 00:E0:4C:68:04:31, CPU usage : 0.0, RAM usage : 9120.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 828, Type : Windows
2016/01/20 14:34:10 Process Name : svchost#1, MAC ID : 00:E0:4C:68:04:31, CPU usage : 0.0, RAM usage : 8480.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 912, Type : Windows
2016/01/20 14:34:10 Process Name : svchost#10, MAC ID : 00:E0:4C:68:04:31, CPU usage : 0.0, RAM usage : 3672.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 1060, Type : Windows
2016/01/20 14:34:10 Process Name : svchost#11, MAC ID : 00:E0:4C:68:04:31, CPU usage : 0.0, RAM usage : 4768.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 1368, Type : Windows
2016/01/20 14:34:10 Process Name : svchost#2, MAC ID : 00:E0:4C:68:04:31, CPU usage : 2.3883007948970683, RAM usage : 151832.0, Sent Data : 9669719.027897045, Received Data : 6441.839087804628, Process ID : 412, Type : Windows
2016/01/20 14:34:10 Process Name : svchost#3, MAC ID : 00:E0:4C:68:04:31, CPU usage : 0.0, RAM usage : 211248.0, Sent Data : 0.0, Received Data : 1138.486843801433, Process ID : 556, Type : Windows
2016/01/20 14:34:10 Process Name : svchost#4, MAC ID : 00:E0:4C:68:04:31, CPU usage : 0.0, RAM usage : 10240.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 612, Type : Windows
2016/01/20 14:34:10 Process Name : svchost#5, MAC ID : 00:E0:4C:68:04:31, CPU usage : 0.0, RAM usage : 43680.0, Sent Data : 16.359736649284194, Received Data : 75.99439834596097, Process ID : 800, Type : Windows
2016/01/20 14:34:10 Process Name : svchost#6, MAC ID : 00:E0:4C:68:04:31, CPU usage : 0.0, RAM usage : 5304.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 1112, Type : Windows
2016/01/20 14:34:10 Process Name : svchost#7, MAC ID : 00:E0:4C:68:04:31, CPU usage : 0.0, RAM usage : 30960.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 1312, Type : Windows
2016/01/20 14:34:10 Process Name : svchost#8, MAC ID : 00:E0:4C:68:04:31, CPU usage : 0.0, RAM usage : 17456.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 1608, Type : Windows
2016/01/20 14:34:10 Process Name : svchost#9, MAC ID : 00:E0:4C:68:04:31, CPU usage : 0.0, RAM usage : 11024.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 1984, Type : Windows
2016/01/20 14:34:10 Process Name : taskeng, MAC ID : 00:E0:4C:68:04:31, CPU usage : 0.0, RAM usage : 4864.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 3756, Type : Windows
2016/01/20 14:34:10 Process Name : taskhost, MAC ID : 00:E0:4C:68:04:31, CPU usage : 0.0, RAM usage : 16592.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 5080, Type : Windows
2016/01/20 14:34:10 Process Name : taskmgr, MAC ID : 00:E0:4C:68:04:31, CPU usage : 0.0, RAM usage : 6816.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 3900, Type : Windows
2016/01/20 14:34:10 Process Name : winlogon, MAC ID : 00:E0:4C:68:04:31, CPU usage : 0.0, RAM usage : 6248.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 684, Type : Windows
2016/01/20 14:34:10 Process Name : wmpnetwk, MAC ID : 00:E0:4C:68:04:31, CPU usage : 0.0, RAM usage : 13304.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 3320, Type : Windows
2016/01/20 14:35:42 Process Name : AdobeARM, MAC ID : 00:E0:4C:68:04:31, CPU usage : 0.0, RAM usage : 10304.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 2744, Type : Windows
2016/01/20 14:35:42 Process Name : GWX, MAC ID : 00:E0:4C:68:04:31, CPU usage : 0.0, RAM usage : 6456.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 4468, Type : Windows
2016/01/20 14:35:42 Process Name : IpOverUsbSvc, MAC ID : 00:E0:4C:68:04:31, CPU usage : 0.0, RAM usage : 17176.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 1680, Type : Windows
2016/01/20 14:35:42 Process Name : Jhi_service, MAC ID : 00:E0:4C:68:04:31, CPU usage : 0.0, RAM usage : 2792.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 3976, Type : Windows
2016/01/20 14:35:42 Process Name : MsMpEng, MAC ID : 00:E0:4C:68:04:31, CPU usage : 0.2350026118672883, RAM usage : 234556.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 980, Type : Windows
2016/01/20 14:35:42 Process Name : NisSrv, MAC ID : 00:E0:4C:68:04:31, CPU usage : 7.741172424556715E-4, RAM usage : 17016.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 3256, Type : Windows
2016/01/20 14:35:42 Process Name : PresentationFontCach, MAC ID : 00:E0:4C:68:04:31, CPU usage : 0.0, RAM usage : 54816.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 4612, Type : Windows
2016/01/20 14:35:42 Process Name : Project, MAC ID : 00:E0:4C:68:04:31, CPU usage : 0.12001767005765342, RAM usage : 76636.0, Sent Data : 6.206925460226108, Received Data : 1600.2835198109624, Process ID : 4336, Type : Windows
2016/01/20 14:35:42 Process Name : RAVCpl64, MAC ID : 00:E0:4C:68:04:31, CPU usage : 0.0, RAM usage : 27928.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 2172, Type : Windows
2016/01/20 14:35:42 Process Name : SearchIndexer, MAC ID : 00:E0:4C:68:04:31, CPU usage : 0.03347493379733582, RAM usage : 79032.0, Sent Data : 5.446714100161038, Received Data : 8830.085334137038, Process ID : 4220, Type : Windows
2016/01/20 14:35:42 Process Name : SinhalaTamil IME, MAC ID : 00:E0:4C:68:04:31, CPU usage : 0.0, RAM usage : 4664.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 4400, Type : Windows
2016/01/20 14:35:42 Process Name : SkypeC2CPNRSvc, MAC ID : 00:E0:4C:68:04:31, CPU usage : 0.0, RAM usage : 3864.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 1940, Type : Windows
2016/01/20 14:35:42 Process Name : TSVNCache, MAC ID : 00:E0:4C:68:04:31, CPU usage : 7.741412133444657E-4, RAM usage : 6880.0, Sent Data : 144.74684650959512, Received Data : 4.3862679880785045, Process ID : 2856, Type : Windows
