20/01/2016 14:22:23 , Message : The Windows Filtering Platform has permitted a connection., Level : Information, MAC : 00:E0:4C:68:04:31, Device : DREAM-73, Process Id : , Thread Id : , Computer : Dream-73, Event Id : 5156, S_Account Name : , Object Name : , Object Type : , Source Address : , Source Port : 1900, Destination Address : 10.8.97.172, Destination Port : 62885, Protocol : 17, Change Type : , Accesses : , Access Reason : , Privilege for Access Check : , Error Information Reason : , Process Name : , Logon Type : , Impersonation Level : , Account Name : , Failure Reason : , Failure Status : , Logon Account Name : , Event : USER_DEFINED
20/01/2016 14:22:23 , Message : The Windows Filtering Platform has permitted a connection., Level : Information, MAC : 00:E0:4C:68:04:31, Device : DREAM-73, Process Id : , Thread Id : , Computer : Dream-73, Event Id : 5156, S_Account Name : , Object Name : , Object Type : , Source Address : , Source Port : 0, Destination Address : 10.8.97.172, Destination Port : 0, Protocol : 2, Change Type : , Accesses : , Access Reason : , Privilege for Access Check : , Error Information Reason : , Process Name : , Logon Type : , Impersonation Level : , Account Name : , Failure Reason : , Failure Status : , Logon Account Name : , Event : USER_DEFINED
20/01/2016 14:22:23 , Message : The Windows Filtering Platform has permitted a connection., Level : Information, MAC : 00:E0:4C:68:04:31, Device : DREAM-73, Process Id : , Thread Id : , Computer : Dream-73, Event Id : 5156, S_Account Name : , Object Name : , Object Type : , Source Address : , Source Port : 5355, Destination Address : 10.8.97.172, Destination Port : 61099, Protocol : 17, Change Type : , Accesses : , Access Reason : , Privilege for Access Check : , Error Information Reason : , Process Name : , Logon Type : , Impersonation Level : , Account Name : , Failure Reason : , Failure Status : , Logon Account Name : , Event : USER_DEFINED
20/01/2016 14:22:23 , Message : The Windows Filtering Platform has permitted a connection., Level : Information, MAC : 00:E0:4C:68:04:31, Device : DREAM-73, Process Id : , Thread Id : , Computer : Dream-73, Event Id : 5156, S_Account Name : , Object Name : , Object Type : , Source Address : , Source Port : 5355, Destination Address : 10.8.97.172, Destination Port : 58805, Protocol : 17, Change Type : , Accesses : , Access Reason : , Privilege for Access Check : , Error Information Reason : , Process Name : , Logon Type : , Impersonation Level : , Account Name : , Failure Reason : , Failure Status : , Logon Account Name : , Event : USER_DEFINED
20/01/2016 14:22:23 , Message : The Windows Filtering Platform has permitted a connection., Level : Information, MAC : 00:E0:4C:68:04:31, Device : DREAM-73, Process Id : , Thread Id : , Computer : Dream-73, Event Id : 5156, S_Account Name : , Object Name : , Object Type : , Source Address : , Source Port : 5355, Destination Address : 10.8.97.172, Destination Port : 55128, Protocol : 17, Change Type : , Accesses : , Access Reason : , Privilege for Access Check : , Error Information Reason : , Process Name : , Logon Type : , Impersonation Level : , Account Name : , Failure Reason : , Failure Status : , Logon Account Name : , Event : USER_DEFINED
20/01/2016 14:22:23 , Message : The Windows Filtering Platform has permitted a connection., Level : Information, MAC : 00:E0:4C:68:04:31, Device : DREAM-73, Process Id : , Thread Id : , Computer : Dream-73, Event Id : 5156, S_Account Name : , Object Name : , Object Type : , Source Address : , Source Port : 1177, Destination Address : 10.8.97.172, Destination Port : 9091, Protocol : 6, Change Type : , Accesses : , Access Reason : , Privilege for Access Check : , Error Information Reason : , Process Name : , Logon Type : , Impersonation Level : , Account Name : , Failure Reason : , Failure Status : , Logon Account Name : , Event : USER_DEFINED
20/01/2016 14:22:23 , Message : The Windows Filtering Platform has blocked a connection., Level : Information, MAC : 00:E0:4C:68:04:31, Device : DREAM-73, Process Id : , Thread Id : , Computer : Dream-73, Event Id : 5157, S_Account Name : , Object Name : , Object Type : , Source Address : , Source Port : 1177, Destination Address : 10.8.97.172, Destination Port : 9091, Protocol : 6, Change Type : , Accesses : , Access Reason : , Privilege for Access Check : , Error Information Reason : , Process Name : , Logon Type : , Impersonation Level : , Account Name : , Failure Reason : , Failure Status : , Logon Account Name : , Event : USER_DEFINED
20/01/2016 14:22:23 , Message : The Windows Filtering Platform has permitted a connection., Level : Information, MAC : 00:E0:4C:68:04:31, Device : DREAM-73, Process Id : , Thread Id : , Computer : Dream-73, Event Id : 5156, S_Account Name : , Object Name : , Object Type : , Source Address : , Source Port : 137, Destination Address : 10.8.97.172, Destination Port : 137, Protocol : 17, Change Type : , Accesses : , Access Reason : , Privilege for Access Check : , Error Information Reason : , Process Name : , Logon Type : , Impersonation Level : , Account Name : , Failure Reason : , Failure Status : , Logon Account Name : , Event : USER_DEFINED
20/01/2016 14:22:24 , Message : The Windows Filtering Platform has permitted a connection., Level : Information, MAC : 00:E0:4C:68:04:31, Device : DREAM-73, Process Id : , Thread Id : , Computer : Dream-73, Event Id : 5156, S_Account Name : , Object Name : , Object Type : , Source Address : , Source Port : 138, Destination Address : 10.8.97.222, Destination Port : 138, Protocol : 17, Change Type : , Accesses : , Access Reason : , Privilege for Access Check : , Error Information Reason : , Process Name : , Logon Type : , Impersonation Level : , Account Name : , Failure Reason : , Failure Status : , Logon Account Name : , Event : USER_DEFINED
20/01/2016 14:22:24 , Message : The Windows Filtering Platform has permitted a connection., Level : Information, MAC : 00:E0:4C:68:04:31, Device : DREAM-73, Process Id : , Thread Id : , Computer : Dream-73, Event Id : 5156, S_Account Name : , Object Name : , Object Type : , Source Address : , Source Port : 1900, Destination Address : fe80::b422:5e3a:b9ba, Destination Port : 58467, Protocol : 17, Change Type : , Accesses : , Access Reason : , Privilege for Access Check : , Error Information Reason : , Process Name : , Logon Type : , Impersonation Level : , Account Name : , Failure Reason : , Failure Status : , Logon Account Name : , Event : USER_DEFINED
20/01/2016 14:22:24 , Message : The Windows Filtering Platform has permitted a connection., Level : Information, MAC : 00:E0:4C:68:04:31, Device : DREAM-73, Process Id : , Thread Id : , Computer : Dream-73, Event Id : 5156, S_Account Name : , Object Name : , Object Type : , Source Address : , Source Port : 137, Destination Address : 10.8.97.172, Destination Port : 137, Protocol : 17, Change Type : , Accesses : , Access Reason : , Privilege for Access Check : , Error Information Reason : , Process Name : , Logon Type : , Impersonation Level : , Account Name : , Failure Reason : , Failure Status : , Logon Account Name : , Event : USER_DEFINED
20/01/2016 14:22:24 , Message : The Windows Filtering Platform has permitted a connection., Level : Information, MAC : 00:E0:4C:68:04:31, Device : DREAM-73, Process Id : , Thread Id : , Computer : Dream-73, Event Id : 5156, S_Account Name : , Object Name : , Object Type : , Source Address : , Source Port : 1178, Destination Address : 10.8.97.172, Destination Port : 9091, Protocol : 6, Change Type : , Accesses : , Access Reason : , Privilege for Access Check : , Error Information Reason : , Process Name : , Logon Type : , Impersonation Level : , Account Name : , Failure Reason : , Failure Status : , Logon Account Name : , Event : USER_DEFINED
20/01/2016 14:22:24 , Message : The Windows Filtering Platform has blocked a connection., Level : Information, MAC : 00:E0:4C:68:04:31, Device : DREAM-73, Process Id : , Thread Id : , Computer : Dream-73, Event Id : 5157, S_Account Name : , Object Name : , Object Type : , Source Address : , Source Port : 1178, Destination Address : 10.8.97.172, Destination Port : 9091, Protocol : 6, Change Type : , Accesses : , Access Reason : , Privilege for Access Check : , Error Information Reason : , Process Name : , Logon Type : , Impersonation Level : , Account Name : , Failure Reason : , Failure Status : , Logon Account Name : , Event : USER_DEFINED
20/01/2016 14:22:25 , Message : The Windows Filtering Platform has permitted a connection., Level : Information, MAC : 00:E0:4C:68:04:31, Device : DREAM-73, Process Id : , Thread Id : , Computer : Dream-73, Event Id : 5156, S_Account Name : , Object Name : , Object Type : , Source Address : , Source Port : 136, Destination Address : fe80::b183:e8b4:a480, Destination Port : 0, Protocol : 58, Change Type : , Accesses : , Access Reason : , Privilege for Access Check : , Error Information Reason : , Process Name : , Logon Type : , Impersonation Level : , Account Name : , Failure Reason : , Failure Status : , Logon Account Name : , Event : USER_DEFINED
20/01/2016 14:22:25 , Message : The Windows Filtering Platform has permitted a connection., Level : Information, MAC : 00:E0:4C:68:04:31, Device : DREAM-73, Process Id : , Thread Id : , Computer : Dream-73, Event Id : 5156, S_Account Name : , Object Name : , Object Type : , Source Address : , Source Port : 1179, Destination Address : 10.8.97.172, Destination Port : 9091, Protocol : 6, Change Type : , Accesses : , Access Reason : , Privilege for Access Check : , Error Information Reason : , Process Name : , Logon Type : , Impersonation Level : , Account Name : , Failure Reason : , Failure Status : , Logon Account Name : , Event : USER_DEFINED
20/01/2016 14:22:25 , Message : The Windows Filtering Platform has blocked a connection., Level : Information, MAC : 00:E0:4C:68:04:31, Device : DREAM-73, Process Id : , Thread Id : , Computer : Dream-73, Event Id : 5157, S_Account Name : , Object Name : , Object Type : , Source Address : , Source Port : 1179, Destination Address : 10.8.97.172, Destination Port : 9091, Protocol : 6, Change Type : , Accesses : , Access Reason : , Privilege for Access Check : , Error Information Reason : , Process Name : , Logon Type : , Impersonation Level : , Account Name : , Failure Reason : , Failure Status : , Logon Account Name : , Event : USER_DEFINED
20/01/2016 14:22:26 , Message : The Windows Filtering Platform has permitted a connection., Level : Information, MAC : 00:E0:4C:68:04:31, Device : DREAM-73, Process Id : , Thread Id : , Computer : Dream-73, Event Id : 5156, S_Account Name : , Object Name : , Object Type : , Source Address : , Source Port : 137, Destination Address : 10.8.97.172, Destination Port : 137, Protocol : 17, Change Type : , Accesses : , Access Reason : , Privilege for Access Check : , Error Information Reason : , Process Name : , Logon Type : , Impersonation Level : , Account Name : , Failure Reason : , Failure Status : , Logon Account Name : , Event : USER_DEFINED
20/01/2016 14:22:26 , Message : The Windows Filtering Platform has permitted a connection., Level : Information, MAC : 00:E0:4C:68:04:31, Device : DREAM-73, Process Id : , Thread Id : , Computer : Dream-73, Event Id : 5156, S_Account Name : , Object Name : , Object Type : , Source Address : , Source Port : 5355, Destination Address : 10.8.97.172, Destination Port : 55729, Protocol : 17, Change Type : , Accesses : , Access Reason : , Privilege for Access Check : , Error Information Reason : , Process Name : , Logon Type : , Impersonation Level : , Account Name : , Failure Reason : , Failure Status : , Logon Account Name : , Event : USER_DEFINED
20/01/2016 14:22:26 , Message : The Windows Filtering Platform has permitted a connection., Level : Information, MAC : 00:E0:4C:68:04:31, Device : DREAM-73, Process Id : , Thread Id : , Computer : Dream-73, Event Id : 5156, S_Account Name : , Object Name : , Object Type : , Source Address : , Source Port : 5355, Destination Address : 10.8.97.172, Destination Port : 54912, Protocol : 17, Change Type : , Accesses : , Access Reason : , Privilege for Access Check : , Error Information Reason : , Process Name : , Logon Type : , Impersonation Level : , Account Name : , Failure Reason : , Failure Status : , Logon Account Name : , Event : USER_DEFINED
