2016/01/20 13:52:03 Process Name : SkypeC2CAutoUpdateSv, MAC ID : 00:E0:4C:68:1A:18, CPU usage : 0.0, RAM usage : 5376.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 1784, Type : Windows
2016/01/20 13:52:03 Process Name : TrustedInstaller, MAC ID : 00:E0:4C:68:1A:18, CPU usage : 0.0, RAM usage : 9344.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 3536, Type : Windows
2016/01/20 13:52:03 Process Name : beasvc, MAC ID : 00:E0:4C:68:1A:18, CPU usage : 0.0, RAM usage : 229760.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 988, Type : Windows
2016/01/20 13:52:03 Process Name : conhost, MAC ID : 00:E0:4C:68:1A:18, CPU usage : 0.0, RAM usage : 2392.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 2468, Type : Windows
2016/01/20 13:52:03 Process Name : conhost#2, MAC ID : 00:E0:4C:68:1A:18, CPU usage : 0.012526567555300811, RAM usage : 2904.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 3212, Type : Windows
2016/01/20 13:52:03 Process Name : csrss, MAC ID : 00:E0:4C:68:1A:18, CPU usage : 0.0, RAM usage : 4728.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 532, Type : Windows
2016/01/20 13:52:03 Process Name : csrss#1, MAC ID : 00:E0:4C:68:1A:18, CPU usage : 0.06264491120722228, RAM usage : 6488.0, Sent Data : 757.4128358823118, Received Data : 0.0, Process ID : 608, Type : Windows
2016/01/20 13:52:03 Process Name : cygrunsrv, MAC ID : 00:E0:4C:68:1A:18, CPU usage : 0.0, RAM usage : 12472.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 2748, Type : Windows
2016/01/20 13:52:03 Process Name : httpd, MAC ID : 00:E0:4C:68:1A:18, CPU usage : 0.0, RAM usage : 18992.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 384, Type : Windows
2016/01/20 13:52:03 Process Name : httpd#1, MAC ID : 00:E0:4C:68:1A:18, CPU usage : 0.0, RAM usage : 22272.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 3648, Type : Windows
2016/01/20 13:52:03 Process Name : igfxCUIService, MAC ID : 00:E0:4C:68:1A:18, CPU usage : 0.0, RAM usage : 4896.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 1264, Type : Windows
2016/01/20 13:52:03 Process Name : lsass, MAC ID : 00:E0:4C:68:1A:18, CPU usage : 0.02531477324754157, RAM usage : 9008.0, Sent Data : 16.1845511276071, Received Data : 0.0, Process ID : 712, Type : Windows
2016/01/20 13:52:03 Process Name : lsm, MAC ID : 00:E0:4C:68:1A:18, CPU usage : 0.0, RAM usage : 6184.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 724, Type : Windows
2016/01/20 13:52:03 Process Name : mysqld, MAC ID : 00:E0:4C:68:1A:18, CPU usage : 0.0, RAM usage : 1173368.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 5036, Type : Windows
2016/01/20 13:52:03 Process Name : oracle, MAC ID : 00:E0:4C:68:1A:18, CPU usage : 0.03756281775151011, RAM usage : 1545940.0, Sent Data : 61162.87401282501, Received Data : 10856.8376304807, Process ID : 928, Type : Windows
2016/01/20 13:52:03 Process Name : services, MAC ID : 00:E0:4C:68:1A:18, CPU usage : 0.0, RAM usage : 13120.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 668, Type : Windows
2016/01/20 13:52:03 Process Name : smss, MAC ID : 00:E0:4C:68:1A:18, CPU usage : 0.0, RAM usage : 1136.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 356, Type : Windows
2016/01/20 13:52:03 Process Name : spoolsv, MAC ID : 00:E0:4C:68:1A:18, CPU usage : 0.0, RAM usage : 13088.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 1580, Type : Windows
2016/01/20 13:52:03 Process Name : sppsvc, MAC ID : 00:E0:4C:68:1A:18, CPU usage : 0.0, RAM usage : 0.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 4108, Type : Windows
2016/01/20 13:52:03 Process Name : sqlservr, MAC ID : 00:E0:4C:68:1A:18, CPU usage : 1.2747377428158817, RAM usage : 188448.0, Sent Data : 0.0, Received Data : 180.7788104835233, Process ID : 2460, Type : Windows
2016/01/20 13:52:03 Process Name : sqlwriter, MAC ID : 00:E0:4C:68:1A:18, CPU usage : 0.0, RAM usage : 4376.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 2832, Type : Windows
2016/01/20 13:52:03 Process Name : sshd, MAC ID : 00:E0:4C:68:1A:18, CPU usage : 0.0, RAM usage : 15280.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 3180, Type : Windows
